"id"|"tweet"|"created_at"
"699419695250706432"|"Excited to be visiting South Carolina tomorrow starting with a Town Hall with @JustinBamberg in the morning. #SCforBernie"|"Tue Feb 16 02:27:04 +0000 2016"
"699405945873391617"|"Proud to have the support of Peace Action. 
https://t.co/bM2YnBzjIr"|"Tue Feb 16 01:32:26 +0000 2016"
"699393774842044416"|"RT @ChadLivengood: .@BernieSanders being introduced by another Bernie: UAW Local 600 President Bernie Ricke. https://t.co/ng7x5YSROx"|"Tue Feb 16 00:44:04 +0000 2016"
"699393600791031809"|"Paid family and medical leave, health care for all - these are ideas that exist in every other major country on earth."|"Tue Feb 16 00:43:23 +0000 2016"
"699384701107056640"|"RT @JustinBamberg: Columbia, SC. Tuesday at Allen University. Pull up. #FeelTheBern https://t.co/EAttEELyJX"|"Tue Feb 16 00:08:01 +0000 2016"
"699368349571002368"|"South Carolina, please join me with Representative Gilliard for a town hall in Charleston tomorrow afternoon: https://t.co/ujpKaBhTtm"|"Mon Feb 15 23:03:02 +0000 2016"
"699366119086366720"|"RT @Wej12: #VT @BernieSanders draws big crowd at Eastern Michigan. https://t.co/6aBTie6Lho #btv #vtpoli via @bfp_news https://t.co/m1okSqIa…"|"Mon Feb 15 22:54:11 +0000 2016"
"699359773142224897"|"RT @nytimes: The battle for the Democratic nomination in Nevada is largely being waged by young Latinos https://t.co/NPjKNjC71C https://t.c…"|"Mon Feb 15 22:28:58 +0000 2016"
"699354511534485504"|"Democrats win when the voter turnout is high. When people come together and we reject division. Register to vote: https://t.co/J1Yama6upv"|"Mon Feb 15 22:08:03 +0000 2016"
"699347598340198400"|"I've been criticized for saying this so let me say it again: health care should be a right, not a privilege. https://t.co/egsnV19Is5"|"Mon Feb 15 21:40:35 +0000 2016"
"699346473884909572"|"Join me in Atlanta tomorrow for a rally with @ninaturner, @KillerMike, @JustinBamberg and @MrDannyGlover! RSVP here: https://t.co/BRYcxOp6JQ"|"Mon Feb 15 21:36:07 +0000 2016"
"699342410438963200"|"I believe what is required in this moment is to think big. When the people lead, the leaders follow. https://t.co/rRWNAZfOwk"|"Mon Feb 15 21:19:58 +0000 2016"
"699335932911026176"|"Alabama, today is the last day for you to register to vote. Visit https://t.co/BPeFEhe3fj to register today and help us win!"|"Mon Feb 15 20:54:14 +0000 2016"
"699327776134791168"|"RT @detroitnews: WATCH LIVE: @BernieSanders is speaking live at @EMU_Swoop https://t.co/V3p1ZhFzWz https://t.co/78GFufXItx"|"Mon Feb 15 20:21:49 +0000 2016"
"699315744648011776"|"RT @nowthisnews: .@BernieSanders ripped into Republicans for their continued denial of climate change
https://t.co/430XILFHdg"|"Mon Feb 15 19:34:00 +0000 2016"
"699315338819694592"|"RT @kelcollison: This is what it looks like when Bernie gives 48 hour notice that he's coming to Michigan! #FeelTheBern https://t.co/F1FtDD…"|"Mon Feb 15 19:32:24 +0000 2016"
"699308361204957185"|"Civil rights icon and entertainer @HarryBelafonte explains why our campaign is the best choice for America.
https://t.co/XIKC48BMIE"|"Mon Feb 15 19:04:40 +0000 2016"
"699307651197317122"|"RT @Frances_Fisher: How @BernieSanders pays for his proposals. #Bernie2016 #FeelTheBern https://t.co/U9jTIkVSkG"|"Mon Feb 15 19:01:51 +0000 2016"
"699299781537984512"|"We do not represent the interests of Wall Street or the billionaire class. We don't want their money. This is a people's campaign."|"Mon Feb 15 18:30:34 +0000 2016"
"699299150387523584"|"I am overwhelmed that we have received more individual contributions than any candidate in U.S. history at this point in a campaign."|"Mon Feb 15 18:28:04 +0000 2016"
"699273488670920704"|"You can have a different point of view on immigration or anything else, but we cannot be attacking people because of their religion."|"Mon Feb 15 16:46:06 +0000 2016"
"699270994599530497"|"RT @TheAtlantic: The pragmatic case for Bernie Sanders https://t.co/jkE3cL0q6G https://t.co/mXkAZDaDHw"|"Mon Feb 15 16:36:11 +0000 2016"
"699260416099250176"|"I am glad to see the Colorado Springs @PPRockyMountain health center reopen today. #StandwithPP  https://t.co/bCPlWHdtlS"|"Mon Feb 15 15:54:09 +0000 2016"
"699250073977290752"|"Next time you hear a politician talking about “family values,” ask yourself if they support measures which really help working families."|"Mon Feb 15 15:13:03 +0000 2016"
"699232335531786240"|"Every year, the federal government makes billions of dollars in profits off of student loans. We must end this most revolting practice!"|"Mon Feb 15 14:02:34 +0000 2016"
"699097672423092228"|"We have the momentum here in Nevada but I need your help. This is it. Sign up for a volunteer shift right now: https://t.co/X3ACxiQQg5"|"Mon Feb 15 05:07:28 +0000 2016"
"699051764541054977"|"Nearly eight out of ten workers who can take time off under the Family and Medical Leave Act cannot do so because they can’t afford it."|"Mon Feb 15 02:05:03 +0000 2016"
"699028209384337409"|"Thank you Dr. Fowler and your congregation for the warm welcome today at service. https://t.co/ahSrbflZhc"|"Mon Feb 15 00:31:27 +0000 2016"
"699021716840800256"|"Happy Valentine's Day from Nevada! https://t.co/lHVNTk2k9K"|"Mon Feb 15 00:05:39 +0000 2016"
